,university,course,type,review,votes,students,difficulty
232,University of Michigan,Python بُنى بيانات,COURSE,,,,Mixed
233,Coursera Project Network,Crea tu primer juego de adivinanza con Python,GUIDED PROJECT,,,,Beginner
234,Coursera Project Network,Build a Machine Learning Image Classifier with Python,GUIDED PROJECT,,,,Intermediate
235,Coursera Project Network,Regresión logística con NumPy y Python,GUIDED PROJECT,,,,Beginner
236,Coursera Project Network,Implementing Hangman Game Using Basics of Python 3,GUIDED PROJECT,4.5,24.0,,Beginner
237,Coursera Project Network,Primeros pasos en Python,GUIDED PROJECT,4.5,11.0,,Beginner
238,Coursera Project Network,أساسيات python: برمج لعبة تخمين الرقم من الصفر,GUIDED PROJECT,,,,Beginner
239,Coursera Project Network,Python برنامج لحل لعبة السودوكو بالذكاء الاصطناعى باستخدام,GUIDED PROJECT,,,,Intermediate
240,Coursera Project Network,Creating a Word Jumble Game in Python Using Tkinter GUI,GUIDED PROJECT,,,,Beginner
241,Coursera Project Network,Design and Develop an Obstacles Game using Pygame in Python,GUIDED PROJECT,,,,Intermediate
242,IBM,Machine Learning with Python,COURSE,4.7,11004.0,210000.0,Intermediate
243,University of Michigan,Applied Machine Learning in Python,COURSE,4.6,7342.0,230000.0,Intermediate
244,Coursera Project Network,Satellite Imagery Analysis in Python,GUIDED PROJECT,4.2,44.0,,Beginner
245,Universidade de São Paulo,Introdução à Ciência da Computação com Python Parte 2,COURSE,4.9,1045.0,21000.0,Beginner
246,Coursera Project Network,"Extract, Transform & Load using Python",GUIDED PROJECT,3.9,13.0,,Beginner
247,Coursera Project Network,Climate Geospatial Analysis on Python with Xarray,GUIDED PROJECT,4.6,18.0,,Intermediate
248,Coursera Project Network,Computer Vision - Image Basics with OpenCV and Python,GUIDED PROJECT,4.3,638.0,13000.0,Beginner
249,University of Michigan,Fitting Statistical Models to Data with Python,COURSE,4.4,533.0,23000.0,Intermediate
250,University of Michigan,Applied Social Network Analysis in Python,COURSE,4.7,2435.0,78000.0,Intermediate
251,Ludwig-Maximilians-Universität München (LMU),"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",COURSE,4.7,250.0,13000.0,Intermediate
252,Coursera Project Network,Clustering Geolocation Data Intelligently in Python,GUIDED PROJECT,4.5,390.0,10000.0,Intermediate
253,Coursera Project Network,Network Data Science with NetworkX and Python,GUIDED PROJECT,4.3,76.0,4800.0,Intermediate
254,Coursera Project Network,Use Python Django to Build a Website,GUIDED PROJECT,4.1,8.0,,Intermediate
255,Coursera Project Network,Image Processing with Python,GUIDED PROJECT,4.3,429.0,11000.0,Intermediate
256,Coursera Project Network,Class Creation in Object Oriented Python,GUIDED PROJECT,4.3,72.0,2400.0,Beginner
257,EDHEC Business School,Python and Machine-Learning for Asset Management with Alternative Data Sets,COURSE,4.4,190.0,9400.0,Intermediate
258,Coursera Project Network,Introduction to Natural Language Processing in Python,GUIDED PROJECT,3.5,43.0,2600.0,Intermediate
259,Coursera Project Network,Linear Regression with Python,GUIDED PROJECT,4.6,400.0,9700.0,Intermediate
260,SAS,Using SAS Viya REST APIs with Python and R,COURSE,4.5,11.0,2800.0,Mixed
261,Coursera Project Network,Python OpenCV Augmented Reality,GUIDED PROJECT,,,,Beginner
262,Università di Napoli Federico II,Python per la Data Science,COURSE,,,,Intermediate
263,Coursera Project Network,Machine Learning Feature Selection in Python,GUIDED PROJECT,4.0,72.0,3800.0,Intermediate
264,Coursera Project Network,Python for Finance: Portfolio Statistical Data Analysis,GUIDED PROJECT,4.7,7.0,,Beginner
265,Coursera Project Network,Create your own Sudoku Solver using AI and Python,GUIDED PROJECT,4.2,30.0,2200.0,Intermediate
266,Coursera Project Network,Python OpenCV Motion Detection,GUIDED PROJECT,4.1,7.0,,Beginner
267,Coursera Project Network,Create a Python Application using PyMongo and MongoDB Database,GUIDED PROJECT,4.5,59.0,3000.0,Intermediate
